"";"N";"CONCESSIONARIOS";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"60";"1602";"Thomas Bell e John Richardson,";"Lincoln (inglaterra)";"Melhoramentos em machinas a petrole) ou outro combustível liquido, portateis e sem portateis";"Idem";""
"61";"1603";"Frederick Herbert Prentiss";"Bayome (Estados Unidos da An.erica do Norte.";"Melhoramentos em lampadas incandescentes para iluminação electrica.";"5 de junho";"13 annos."
"62";"1604";"Antonio de Oliveira & Comp.";"Capital Federal.";"Uma caixa automatica para descarga de agua, denominada - caixa sanitaria.";"16 de junho.";"Idem."
"63";"1605";"Joaquim Ferreira Dias.";"Idem";"Uma machina denominada - machina rotativa a vapor Ferreira Dias";"lem";"Idem."
"64";"1606";"Dr. A. Ruchmuller.";"Estado de S. Paulo.";"Uma lampada electrica de incandescencia com filamentos de sobresalente";"Idem";"Idem."
"65";"1607";"Botelho Teixeira & Auler.";"Idem";"Uma machina de descascar café, denominada -- descascador Teixeira";"Idem";"Idem."
"63";"1608";"Michel Jonh Paul";"Londres";"Um processo aporfeiçoado de descarregar de saveiros o carvão ou cargas similares desti- nado a navios ou a cães.";"Idem";"Idem."
"67";"1609";"Martin Rose Ruble";"Newaak (Estados Unidos da America do Norte.";"Um ventilador, ""blowes"" aperfeiçoado";"Idem";"Idem."
"68";"1610";"Tenente-coronel H. de Villeneuve.";"Capital Federal.";"Applicação da planta denominada-Typha - - - para a fabricação da massa de papel.";"Idem";"Idem."
"69";"1611";"Manoel José Martins & Filho";"Idem";"Uma cadeira denominada- - Cadeira Popular.";"Idem";"Idem."
"70";"1612";"Dr. A. Buchmuler.";"Estado de s. Paulo";"Um systema de caixão favorecendo e accele- rando a decomposição dos corpos";"8 de julho";"1dem."
"71";"1613";"Joseph Baker & Sons.";"Londres";"Apparelho seccador denominado - Seccador Baker";"Idem";"Idem."
"72";"1614";"Antonio Izidro Gonçalves";"Capital Federal";"Um systema de balancins denominado - Ba- lancin inquebravel.";"Idem";"Idem."
"73";"1615";"Antonio Izidro Gonçalves";"Idem";"Um systema de dormentes metallicos denominado - dormentes economicos";"Idem";"Idem."
"74";"1616";"Antonio Izidro Gonçalves";"Idem";"Um systema de aldravas, denominado - aldrava segura hygienica";"Idem";"Idem."
"75";"1617";"Augusto Candido Gomes.";"Estado de s. Paulo.";"Um descascador de café denominado - Des- cascador completo de teclados e peneiras rotativas.";"8 de julho";"13 annos."
"76";"1618";"Nicolão Schimitt";"Rio Grande do Sul";"Prensas e chapas metallicas para lavrar couro curtido para diversas manufacturas.";"Idem";"Idem."
"77";"777";"Camille Dupeyrat";"Capital Federal,";"Melhoramentos introduzidos na sua invenção privilegiada denominada - Collete aperfei- coado.";"Idem";"Emquanto vigo- rar a patente primitiva."
"78";"1619";"Joaquim Leocadio Freire e José Hilario Freire";"Estado de s. Paulo";"Um catador de pedras - Caçapava-para café côco";"15 de julho";"15 annos."
"79";"1620";"Manoel Corrêa Baptista do Nascimento.";"Rio de Janeiro.";"Um motor mecanico denominado - Nasci- mento.";"Idem";"idem."
"80";"1512";"Joaquim Gomes Jardim.";"Estado de S. Paulo.";"Melhoramentos introduzidos na sua invenção privilegiada de um novo systema de fornalha economica denominado - Fornalha eco- nomica";"Idem";"Emquanto vigo- rar a patente primitiva."
"81";"1621";"Antonio Ribeirão Ferreira.";"Capital Federal.";"Um processo economico e duravel de preparar os rolos para impressão typographica.";"24 de julho";"15 annes."
"82";"1622";"Pedro Antonio Santangelo";"Estado de S. Paulo";"Uma machina destinada a descascar café e arroz denominada - Descascador Santangelo";"31 de julho";"Idem."
"83";"1623";"Nicola Navazio.";"Idem";"Uma machina Navazio, para polir, seccar e dar brilho ao café";"Idem";"Idem."
"84";"1624";"Dr. N. Gerber";"Suissa.";"Modo de conservação do leite puro";"Idem";"Idem."
"85";"1535";"Pedro Antonio Santangelo,";"Estado de s. Paulo";"Melhoramentos introduzidos na sua invenção privilegiada de uma machina destinada a ventilar café descascado, denominado-Ven- tilador-Separador-Santangelo";"Idem";"Emquanto vigo- rar a patente primitiva."
"86";"1078";"Pedro Antonio Santangelo.";"Idem";"Melhoramentos introduzidos na sua invenção privilegiada de uma machina destinada a ventilar café, denominada - Ventilador-esco lhedor-Santangelo.";"Idem";"Idem."
"87";"1126";"Pedro Antonio Santangelo";"Estado de S. Paulo";"Melhoramentos introduzidos na sua invenção privilegiada relativa a melhoramentos feitos na machina denominada - Descascador de café Engelberg.";"31 de julho";"Emquanto vigo-"
"88";"1625";"José Alves de Almeida";"Idem";"Moinhos-Prodigiosos--de fubá, systema Alves";"11 de agosto";"rar a patente primitiva. 15 annos."
"80";"1626";"Adolpho Sidow e Philippe Dick.";"Idem";"Um systema de cylindro compensador para todas as machinas a movimento alternativo, denominado - Pistão compensador.";"Idem";"Idem."
"00";"1627";"Elisiario Castanho.";"Idem";"Um apparelho descascador de café, denomi- nado -Descascador Castanho.";"Idem";"Idem."
"91";"1328";"William Van Vleck Lidgerword";"Londres";"Aperfeiçoamentos em descascadores de café e outros grãos";"15 de agosto.";"Idem."
"92";"1629";"Heinrich Meinecke.";"Breslau (Allemanha)";"Mecanismo regulador para medidor de agua.";"Idem";"Idem."
"93";"1630";"Walter Charles Church";"Brixton (Inglaterra)";"Melhoramentos em machinas a vapor ou com relação a ellas e em outras machinas movidas por fluidos";"Idem";"Idem."
"94";"1631";"William Van Vleck Lidgerwood.";"Londres";"Methodos e apparelhos aperfeiçoados, appli- caveis a desaeccção do café";"Idem";"Idem."
"95";"1632";"William Dundas Scott Moncrieff";"Idem";"Aperfeiçoamentos no tratamento de materiaes de esgotoe um apparelho destinado a esse fim";"Idem";"Idem."
