"N";"DATA DA EXPEDIÇÃO";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"3.045";"15   ";"Samuel Adolpho Bragi";"Estado de S. Paulo.";"Machina de beneficiar arroz, denominada deseas- cador - Samuel Braga."
"3.016";"15   ";"The Richemond Gold & Silver Cigar- rette Company.";"Estados Unidos da America do Norte.";"Novo systema de mortalha para cigarros."
"3.047";"15   ";"Theodore Miller";"Idem";"Gerador de vapor aperfeiçoado."
"3.048";"15   ";"Charles Alfred Carles de Candem- berg.";"França";"Nova substancia para calçamento ou pavimento de- nominado - Asphalto Cautchntado."
"3.049";"15   ";"Johannes Giesecke";"Allemanha";"Processo para producção de chapas para impressão das meias tintas, denominado - Gigantolypia."
"3.050";"15   ";"Manetho Côrtez, Jeckson. John Maria Donough e Arthur John Clark.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em machinas de furar rochas."
"3.051";"23   ";"Gottlieb Kahle, Theodor Henjes e Ludwig Beissoer.";"Allemanha";"Armadilhas aperfeiçoadas para apanhar ratos, ca- mondongos e outros animaes damninhos."
"3.052";"23   ";"Theodore Miller";"Estados Unidos da America do Norte.";"Processo para regular automaticamente a producção de vapor em gerador de vapor."
"3.053";"29   ";"Henry Alonzo Buch";"Inglaterra";"Machina rotativa aperfeiçoada."
"3.054";"29   ";"Eduardo B. Kneese";"Estado de S. Paulo";"Bateria electro-galvanica denominada - Bacteria Electro-galvanica de Eduardo B. Kneese."
"3.055";"29   ";"José Pinto Rodrigues de Brito";"Capital Federal.";"Utensilio para limpeza e hygiene das habitações, denominada - Saneador domestico."
"3.056";"31   ";"John James Marchant";"Idem";"Gerador de acetylene."
"3.057";"11 de abril.  ";"Joaquim Severino da Cruz.";"Estado de S. Paulo";"Fecho de segurança - Joaquim Cruz."
"3.058";"11 ""   ";"Emile Barbet";"França";"Aperfeiçoamentos em processo de fermentações in- dustriaes e sua utilisação."
"";"";"";"";""
"2.575 (bis)";"23 de maio de 1900";"Rodolpho Schomaker";"Estado de Minas Geraes";"Melhoramentos introduzidos na invenção já privilegiada, de formicida, denominada - Morte instantanea."
"2.617 e";"12 de dez. de 1900";"José Alves Ribeiro de Car- valho.";"Capital Federal";"Melhoramentos introduzidos na invenção já privilegiada. de grinaldas ou coròas deno- minadas- Grinaldas brazileiras."
"2.616 """;"25 de abeil de 1900";"Victor Camis e Anselmo Gobba";"Italia";"Me'horamentos introduzidos na invenção, já privilegiada, de uns aperfeiçoamentos nos ap- parelhos recuperadores do oleo de lubrificação."
"2.627 (ter)";"21 de dez. de 1900";"Eduardo Augusto Pereira Nunes.";"Capital Federal";"Melhoramentos introduzidos na invenção, já privilegiada, de um preparado denominado - Formicidina Paranaense."
"2.731 (bis)";"30 de agosto de 1900";"Dr. Francisco Custodio de Barros.";"Idem";"Melhoramentos introduzidos na invenção. já privilegiada, de um preparado denominado - Rheumatina, applicado ao tratamento do rheamatismo, molestias cutaneas, syphiliti- cas e outras affecções dolorosas."
"2.733 """;"8 de jan. de 1900";"William Henry Porter";"Estados Unidos da Ame- rica do Norte.";"Melhoramentos introduzidos na invenção, já privilegiada, de uma substancia catalytica estavel para bicos de gaz e bicos para o mesmo."
"2.742 (bis).";"31 de maio de 1900.";"Elias Peterson";"Belgica,";"Melhoramentos introduzidos na invenção, já privilegiada, de um processo de tratamento dos minerios sulfuretados, contendo arsenico, antimonio ou tellurio."
"4 2.745 """;"22 de fev. de 1900.";"A. Balaguer & C.";"Capital Federal";"Melhoramentos introduzidos na invenção, ja priviligiada, de um apparelho para destrui- ção das formigas e outros insectos damninhos denominado - Insecticida Brazil."
"2.786";"16 de junho de 1900";"Guglielmo Marconi";"Inglaterra";"Melhoramentos introduzidos na invenção, já privilegiada, de apparelhos empregados em telegraphia sem fios."
"2.813";"22 de fev. de 1900.";"Hime & C.";"Capital Federal";"Melhoramentos introduzidos na invenção, já privilegiada, de ferros de engommar com grelhas aperfeiçoadas."
"2.867";"10 de março de 1900";"A. Euterpino Borges.";"Idem.";"Melhoramentos introduzidos na invenção já privilegiada, de apparelho automatico gera- dory de gaz acetileno, dispensando o gazome- tro."
