"N";"DATA";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"3.822";"""";"Joaquim da Silva Xavier Ju- nior.";"Idem";"Descascador para arroz, denominado - Des- cascador Xavier Junior."
"3.833";"29 de abril de 1903 .";"Lewis Peter Ford";"Inglaterra.";"Aperfeiçoamentos no fabrico de tijolos de pedra artificial."
"3,824";""" >> "" "" """;"Idem.";"Idem";"Molde aperfeiçoado para o fabrico de blocos de pedra artificial de grandes dimensões."
"3.825";""" "" "" >>";"Ricardo Fortun e Eduardo Sem- prun.";"Hespanha";"Processo industrial de soldadura de aluminio e suas ligas."
"3.826";""" > "" """;"Louis Sepulchre";"Belgica";"Chaminé guarda-vista para lampadas de pe- trolco de corrente de ar central."
"3.827";""" "" """;"George Harry Hayes.";"Inglaterra.";"Aperfeiçoamentos em brocas pneumaticas e machinismos analogos."
"3.828";""" "" """;"Inocencio Fernandez.";"Hespanha";"Systema de machina destinada a cortar o diamante."
"3.829";""" "" "" """;"Ferdinand Fritz";"Inglaterra.";"Processo para carbonisação de turfa."
"3.830";""" """;"Frederic Edmund Bowmann";"Idem";"Aperfeiçoamentos em installações para pro- ducção de gaz."
"3.831";""" """;"Peter Cooper Hewitt";"Estados Unidos da Ame- rica.";"Aperfeiçoamentos em processo para obter uma corrente de uma só direcção de uma fonte de corrente monophase ou polyphase alter- nada."
"3.832";""" "" """;"Idem.";"Idem";"Aperfeiçoamentos em lampadas electricas a gaz ou a vapor."
"3.833";""" > x """;"Peter Cooper Hewitt";"Idem";"Apparelho aperfeiçoado para produzir um es- paço de gaz ou vapor para trajecto de cor- rente electrica."
"3.834";""" "" "" """;"Idem.";"Idem";"Systema de transformação de energia ele- ctrica."
"3.835";""" "" """;"José Cupertino Delpino.";"Capital Federal";"Carteira reclame para cigarros, a que deno- minou - Carteira Magica."
"3.836";"8 de maio de 1903.";"José Diniz da Costa Maia";"Idem";"Machina de preparar o café, chá ou mate, denominada -- Sul Americana."
"3.837";"14 "" "" "" """;"Agostinho Nogueira da Silva.";"Estado de S. Paulo.";"Novos machinismos para beneficiar café, arroz e outros quaesquer grãos, denoninados - A. Nogueira."
"3.838";"15 "" "" "" """;"William Adoniram Shely e Alda Merril Shely.";"Estados Unidos da Ame- rica do Norte.";"Machina para partir e esmagar ou limpar as materias fibrosas."
"3.839";"19 "" """;"Eduardo Claudio.";"Capital Federal.";"Melhoramentos em propulsores para navios, etc."
"3.840";"23 "" "" """;"Mark Worsnoy Marsden";"Estados Unidos da Ame rica do Norte.";"Manufactura aperfeiçoada de envoltorios, mor- talhas e papel de tabaco."
"3.841";"27 "" "" """;"Maria Mohé Jardim";"Capital Federal.";"Collete (espartilho) denominado - Mohé."
"3.842";"1 de jun. de 1903";"Nuno Telmo Junior";"Idem";"Invenção denominada - Carteira de utilidade e propaganda."
"3.843";"2 "" "" """;"Manoel Antonio Galvão.";"Estado de Alagôas.";"Systema de canalisação do alcool, destinado á illuminação."
"3.844";"3 "" "" """;"Affonso Duval.";"Capital Federal.";"Novo apparelho denominado - Brazil - appli- cado aos machinismos de automoveis em geral."
"3.845";"4 de jun . de 1903";"José Antonio Mendes.";"Estado do Pará";"Filtro a que denominou - Filtro Mendes."
"3.846";""" "" > "" """;"P. Niaud";"Capital Federal.";"Novo melhoramento que introduziu nos ferros de engommar."
"3.847";""" "" "" """;"J. Casquilho & Comp.";"Idem";"Aperfeiçoamentos em caixas para phosphoros."
"3.848";". "" "" """;"Gebrüder Rollemberg & Comp.";"Estado do Rio Grande do Sul.";"Processo de preparar couros seccos salgados."
"3.849";""" "" """;"Andrade Drummond e Virissimo Barbosa de Souza.";"Capital Federal.";"Processo de fabricação de um gaz para illumi- nação e outros fins industriaes, denominado - Gaz luminoso."
"3.850";""" """;"Thomas Oswald Meni";"Inglaterra.";"Aperfeiçoamentos em machinismos para re- gular a acção de portas de arriar de vagões de estradas de ferro e outras semelhantes."
"3.851";""" "" "" """;"Antonio Blundi";"Estado de S. Paulo.";"Aperfeiçoamentos em descascadores para café."
"3.852";""" "" "" "" """;"Dannemam & Comp.";"Estado da Bahia.";"Novo acondicionamento para charutos e cigar- rilhos."
"3.853";""" "" > """;"Manoel Gomes & Comp.";"Capital Federal.";"Lampada aperfeiçoada a vapor do alcool para illuminação."
"3.854";"5 "" "" """;"Wilhelm Lorenz";"Allemanha";"Apparelho rotativo para lavrar a terra em sulcos."
"3.855";""" "" "" "" """;"Muttoni Hermanos";"Republica Oriental do Uru- guay.";"Apparelho para sujeitar animaes, denominado - Brete-Systema-Muthoni."
"3.856";""" "" "" "" """;"Jules Bernard Bengné";"França.";"Apparelho para lançar perfume, denominado - Pera lança-perfumes."
"3.857";"";"Henry D. Perky";"Estados Unidos da Ame- rica.";"Machina para cozer biseoutos, bolachas e ar- tigos analogos."
"3.858";""" "" """;"Harry Charles La Flamboy.";"Idem";"Machina para encher as chapas de immersão ou quadros empregados na fabricação de phosphoros."
"3.859";""" "" "" """;"John Philip Holland.";"Idem";"Aperfeiçoamentos em submarinos e outros na- vios de guerra, principalmente os que levam torpedos."
"3.860";""" "" "" "" """;"King Camp. Gillette.";"Idem";"Aperfeiçoamentos em navalhas de segu- rança."
"3.861";""" "" "" """;"Marius Giacomo";"Republica Argentina";"Rolha hermetica para garrafas e ontros re- cipientes."
"3.862";"9 "" "" """;"Alfred Mark Oliver";"Capital Federal.";"Apparelho de metal que se pôle applicar a diversas machinas para acabamento e aper- feiçoamento de pannos de differentes ma- terias, principalmente de algodão."
"3.863";""" "" "" "" """;"Modesto Plá";"Hespanha.";"Balança hydraulica."
"3.864";""" "" > """;"Herman Charles Woltereck";"Inglaterra.";"Processo para producção synthetica da am- monia."
"3.865";""" "" "" "" """;"Zarello Santo.";"Estado de S. Paulo.";"Novo ventilador-separador de pedras, para café e outros grãos."
"3.866";"17 "" "" "" """;"Montavani Santos";"Idem";"Novo separador para café, denominado - Separador Paulista."
"3.867";""" "" "" "" """;"Sidney Trivick";"Inglaterra.";"Novo processo para fabricar sulfatos seccos de metaes alcalinos."
"3.868";"17 de jun. de 1903";"João Tiburcio Fiuza Lima.";"Capital Federal.";"Novo motor a vento."
"3.869";""" >> > "" """;"Agazio Talcone";"Italia";"Novo apparelho de telegraphia electrica."
"3.870";"19 "" """;"Gabriel Saad Irani";"Estado de S. Paulo.";"Novo producto alimenticio feito de trigo, de- nominado - Burgholinea."
"3.871";""" "" """;"Collatino Marques de Souza e Ar- thur Thompson.";"Capital Federal.";"Processo para assegurar a disseminação dos gazes deleterios dos esgotos da ""City Im- provements>>, directamente para a atmos- phera."
"3.872";">> """;"Francisco Innocencio da Silva.";"Estado do Rio de Janeiro.";"Novo systema de via de trilhos articulados applicavel ás linhas ferreas, para manobrar barreiras levadiças, denominado - Zoopro- thenio."
"3.873";"26 >> """;"Affonso Henriques de Magalhães.";"Estado do Pará";"Escarradeira de lavagens automaticas, que de- nominou - Escarradeira automatica Sanitas."
"3.874";"4 de jul. de 1903";"Companhia Mechanica e Importa- dora de S. Paulo.";"Estado de S. Paulo.";"Cylindros, barras e chapas para descascadores de café."
"3.875";""" """;"Manoel Guedes Pinto de Mello.";"Idem";"Applicação da fibra das hastes do algodoeiro á fabricação de fios, tecidos, papeis, cor- dames, etc."
"3.876";".) "" """;"Theodor Albrecht";"Estado do Rio Grande do Sul";"Aperfeiçoamentos em latas para banha."
"3.877";""" "" "" "" """;"Rosa Celmare.";"Estado de S. Paulo.";"Novo systema de fabricação de broches, al- finetes e outros artigos semelhantes."
"3.878";""" "" "" A >";"Companhia Maggé";"França.";"Novo processo para dar aos liquidos ou solidos um estado de seccura e sorosidade tal, que estas substancias sejam directa, rapida e completamente soluvel."
"3.879";""" >> "" """;"Alfred Papleux";"Idem";"Novo aro elastico para rodas de quaesquer vehiculos."
"3.880";""" """;"Alphonse Huillard";"Idem";"Novo apparelho para deseccação de materias humidas reduzidas em grãos, aparas, fra- gmentos, etc."
"3.881";""" """;"Jacob William De Castro";"Estados Unidos da Ame- rica.";"Novo processo de purificação de liquidos sac- charinos."
"3.882";""" "" """;"Scypion Rifflart";"Belgica.";"Nova construcção de vigas tubulares para estrados de vagões de estradas de ferro."
"3.883";"> """;"Frank Cotton.";"Australia";"Novo apparelho para utilisação de liquidos carburetados como combustivel."
"3.884";"6 "" "" "" """;"Francisco Moreno Garcia";"Capital Federal.";"Barril modelo."
"3.885";"19 "" >> "" """;"Luiz Hyppolito Nogueira da Gama.";"Idem";"Novo systema de annuncios em papel de em- brulho."
"3.886";"21 "" "" "" """;"Otéro, Gomes & Comp.";"Estado do Rio Grande do Sul.";"Novo processo para extracção da estearina de qualquer materia graxa que a contenha."
"3.887";""" >> "" > """;"Idem.";"Idem";"Novo processo para fabricar tres typos de banha, sendo dois solidos e um liquido."
