"";"N";"CONCESSIONARIO";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"87";"1.226";"Pedro Antonio Santangelo";"Estado de s. Paulo.";"Melhoramentos na machina denominada - Des- cascador de café Engelberg";"";""
"88";"1,127";"G. Hermann Schneider";"Hamburgo";"Processo para engarrafamento e fabricação da cerveja sem o contacto do ar atmospherico.";"";""
"89";"1.128";"Ludwig Mond.";"Inglaterra";"Processo aperfeiçoado de extrahir nickel e fabricar objectos de nickel ou revestidos de nickel";"30 de Março";"15 annos"
"90";"1.129";"Augusto Wanguier Gothals.";"França.";"Processo mecanico de desfolhagem de lã, linho, canhamo, ramie e plantas textis em geral.";"";""
"91";"1.130";"Robert Manly Cushman.";"Nova York";"Engradamentos metallicos aperfeiçoados dos diversos vehiculos empregados nas vias-ferreas e nos engastes dos mesmos.";"";""
"92";"1.131";"Luigi Daury e Henry Martin Robert";"Washington";"Machinismo aperfeiçoado de bombas a vapor de acção directa, não rotativa.";"";""
"93";"1.132";"Paulo de Krytoffuriteh,";"Pariz";"Novo granito artificial denominado- Pyro- granito.";"";""
"94";"1.133";"Visconde de Carvalhaes";"Capital Federal";"Processo de serrar, aplainar, tornear e polir as pedras graniticas";"4 de Abril.";""
"95";"1.131";"João José do Rego Nunes.";"Idem,";"Applicação nova da fibra dos vegetaes conhe- cidos por - Barba de velho e Curarina.";"";""
"96";"1.135";"José Franklin de Alencar Lima.";"Idem.";"Producto novo denominado - Farinha brazileira de mandioca.";"";""
"97";"1.136";"Auguste Baussan.";"Idem.";"Novo alambique a vapor de distillação e recti- ficação simultanea.";"";""
"98";"1.137";"Companhia Salubrité";"Pariz";"Systema de installação de apparelhos para saneamento das cidades por canalisação pneumatica.";"";""
"99";"1.138";"Attilio de Petris.";"Capital Federal";"Carvão economico artificial";"";""
"100";"1.139";"Eugene Reverdy";"Idem.";"Machina de descascar bagas de café, arroz, etc.";"";""
"101";"1.140";"Daniel Bethmont";"Pariz";"Systema de geradores de vapor, de vaporisa- ção rapida e de capacidade limitada, mas sempre certa";"";""
"102";"1.141";"João Jorge Repsold.";"Capital Federal.";"Processo para a conservação da madeira em contacto com 0 ferro e aço, substituindo estes dous metaes o antigo cavername tambem de madeira";"8 de Abril.";"15 annos"
"103";"1.142";"Dr. Urias Antonio da Silveira";"Estado do Rio de Janeiro.";"Utensilios culinarios para os fogões denomi- nados - Sul Americanos.";"";""
"104";"1.143";"o mesmo.";"Idem.";"Fogão Sul Americano";"";""
"103";"1.144";"Henri Barotti";"Pariz.";"Processo e apparelho aperfeiçoados para pro- ducção do extracto secco do café.";"";""
"103";"1.145";"Clarindo Vicente Alves";"Capital Federal";"Preparado que denominou <Banho Colorido"".";"11";""
"107";"1.146";"José Alves de Araujo Barros.";"Estado do Rio de Janeiro.";"Processo para extrahir alcool da farinha de mandioca";"";""
"108";"1.147";"o mesmo.";"Idem.";"Processo de extrahir da mandioca farinha im- palpavel para o fabrico do pão.";"";""
"109";"1.148";"Jayme Carlos da Silva Telles.";"Capital Federal";"Novissimas applicações do papel comprimido.";"";"41"
"110";"1.149";"Theodoro Baptista.";"Idem";"Processos e machinas para extrahir e applicar as materias fibrosas contidas nos animaes, vegetaes e mineraes.";"";""
"111";"1.150";"Alberto Kuhlmann";"Estado de s. Paulo.";"Systema de via-ferrea com trilhos de fenda para tramways em ruas calçadas, denominado - -Systema Kuhlmann";"15";""
"112";"1.151";"Adolpho Berrenberg e William Emery Nickerson";"E. U. da America do Norte";"Novo systema de bombas de operar o vacuo";"";""
"113";"1.152";"Eduardo Field";"Londres";"Processo para produzir mistura de vapor de agua e ar, sob pressão, para uso das machinas motoras";"";""
"114";"1.153";"Clovis Arrault.";"Estado do Rio de Janeiro.";"Caixas ou quartos frigorificos Arrault, desti- nados ao transporte de carne fresca.";"";""
"115";"1.154";"Carl Steffen";"Austria.";"Processo aperfeiçoado de fabricar assucar.";"";""
"116";"1.155";"o mesmo";"Idem.";"Processo para obter a quantidade inteira de assucar crystalisavel contido na massa do assucar.";"";""
"117";"1.156";"Raphael F. Pereda.";"Capital Federal.";"Abano automatico para cadeiras de balanço.";"";""
"118";"1.157";"Arthur Sauer";"Capital Federal";"Processo aperfeiçoado de fabricar tijolos sili- cados e pedras artificiaes";"15 de Abril";"15 annos"
"119";"1.158";"José Canellas e Gustavo Hastoy";"Idem.";"Systema de decorações e scenographias incom- bustiveis e hygienicas, applicaveis especial- mente aos theatros.";"";""
"120";"1.159";"Raphael Lauro.";"Idem";"Motu-continuo";"";""
"121";"1.160";"Americo Raymundo dos Santos.";"Idem.";"Tear para tecer as chinellas vulgarmente co- nhecidas pela denominação de <<chinellas de liga""";"20";""
"122";"1.161";"Antonio José Cardoso";"Idem.";"Novo producto industrial denominado Pedra Saibro";"";""
"123";"1.162";"Manoel Rodrigues da Fonseca.";"Estado do Rio de Janeiro.";"Telha com cauda.";"";""
"124";"1.163";"Francisco Aurelio de Figueiredo e João Gonçalves de Albuquerque.";"Capital Federal";"Apparelho denominado Estativa Ascensor "" e destinado a substituir as escadas e andai- mes na execução da pintura e decorações dos predios";"";""
"125";"1.164";"José Joaquim Cardoso.";"Idem";"Processo para consesvar no estado natural os fructos do tomateiro";"23";""
"126";"1.165";"Clodyus Thierry e Manoel de Barros Taveira";"Idem.";"Forno portatil para carbonisaço da madeira em geral, permittindo a obtenção dos sub- productos";"";""
"127";"1.166";"Henry Bohls.";"E. U. da America do Norte";"Machinas aperfeiçoadas para fabricar cigarros";"";""
"128";"1.167";"Adolpho Barrenberg e William Emery Nickersen";"Idem.";"Bombas aperfeiçoadas para operar o vacuo";"";""
"129";"1.168";"Augusto Adriano.";"Estado de S. Paulo";"Melhoramentos na machina de descascar café denominada <Descascador de café Engelberg>";"";""
"130";"1.169";"Luiz Deponi e Domingos Alves Meira.";"Capital Federal";"Applicação nova das fibras das plantas da familia das bromeliceas e outras á fiação e tecelagem";"27 de abril";"15 annos"
"131";"1.170";"Botelho & Teixeira";"Estado de s. Paulo.";"Machina de descascar café.";"";""
"132";"1.171";"Charles Fairbairn";"Inglaterra";"Apparelhos aperfeiçoados destinados a forjar e acabar objectos maleaveis, tendo secções cir- culares transversaes";"";""
"133";"1.172";"Adolpho Barrenberg e William Emery Nickerson";"E. U. da America do Norte.";"Systema de disjunção electrica.";"";""
"134";"1.173";"Adolpho Barrenberg.";"Idem.";"Connexão de bombas de operar o vacuo.";"";""
"135";"1.174";"Ultime Courbacier.";"Capital Federal";"Novo alambique para distillação economica: Systema Courbacier";"30";""
"136";"1.175";"William Kuhn.";"França.";"Processo de Pasteurisação de liquidar fermen- teaveis e espumantes.";"";""
"137";"1.176";"Jean Eugene Enule Berla";"Capital Federal";"Processo de fabricação de brinquedos e outros agglomerados, servindo de combustivel.";"";""
"138";"1.177";"William H. Lanrence";"Idem.";"Pequenos livros, carteiras e memorandum.";"";""
"139";"1.178";"Ernesto Pires da Silva.";"Estado do Rio de Janeiro.";"Apparelho destinado á fiscalisação de recebi- mento e cobranças da passagem nos vehicu- los de transporte de passageiros";"";""
"140";"1.179";"Caetano Theodoro da Silva.";"Capital Federal";"Modificação e accessorios feitos no actual apparelho de fabricação de farinha.";"4 de Maio.";""
"141";"1.180";"João Gonçalves de Albuquerque e Francisco Aurelio de Figueiredo";"Idem";"Apparelho denominado - Fiel das Lampadas- destinado a proteger as chammas das lam- padas de kerosene.";"";""
"142";"1.181";"Os mesmos.";"Idem.";"Machina denominada - Hydrodynamica - eujo fim s realizar a tracção de vehiculos da na- tureza dos bonds";"";""
"143";"1.182";"Jean Van Der Mersch,";"Estado de s. Paulo.";"Fabrico de preto de marfim.";"";""
"144";"1.183";"Johann Harberts.";"Capital Federal";"Applicação das fibras das plantas embaiba, embira e outras á fabricação de tecidos.";"";""
"145";"1.184";"o mesmo.";"Idem";"Applicação das fibras das madeiras cereja do Brazil, cipó, escada e outras á fabricação de moveis curvados, de vime e artigos seme- lhantes.";"";""
"146";"1.185";"Carlos Alberto de Moraes.";"Capital Federal";"Paralellepipedo fluctuante denominado-Recreid Amphytritico";"9 de Maio.";"15 annos."
"147";"1.186";"Paul Gauchot e Antonin Joseph Eugène Gustave Vilaseca";"Pariz";"Machina para fabricar cigarros";"";""
"148";"1.187";"Luiz Chrysostomo leOliveira, Thomaz Heb- bren e Francisco Victor Pacheco.";"Estado do Rio de Janeiro.";"Forno aperfeiçoado para cozer louça de barro, telhas e tijolos.";"";""
"149";"1.188";"Pedro Antonio Fagundes";"Capital Federal";"Carro para transporte e venda de carne verde e miudes a domicilio, systema - Fagundes - destinado aos suburbios.";"";""
"150";"1.189";"Jules Lemoine";"França.";"Freio de fricção com cabo de secção differencial";"";""
"151";"1.190";"José Abate e Gustavo Hastoy.";"Capital Federal";"Novo-ticket (bilhete) para a cobrança das pas- sagens dos bonds";"";""
