"";"N";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO";"DECRETOS";"DURAÇÃO"
"52";"2505";"Antonio Garcia e Xavier Fender";"Idem";"Soalhos impermeaveis, denominados Fender";"7 de fevereiro";"Idem."
"53";"2506";"Joseph Canahan Helou";"Idem";"Apparelho de aperfeiçoamento em bicyclettes communs, denominado: Apparelho Helou.";"Idem";"Idem."
"54";"2507";"João Julião Manso Sayão.";"Idem";"Preparado denominado : Laxativo de fructas Manso Sayão 9";"de fevereiro";"Idem."
"55";"2508";"João da Cruz Salvado Junior.";"Capital Feleral";"Uma caix? para deposito de lixo denominada Indispensavel";"9 de março";"13 aunos."
"56";"2509";"Alfredo Marques de Sou :a.";"Idem";"Fechos inviolaveis, applicados ao fechamento de enveloppes, malas e saccos.";"10 de março.";"Idem."
"56 A";"2510";"Carlos de Castilho Midosi.";"Idem";"Explosivos de segurança que não detonam ao ar livre.";"19 de março.";"Idem."
"57";"1933 (bis)";"Basilio Mercier";"Idem";"Melhoramentos que introduziu em sua invenção de machina perfuradora de rochas, deno- minada: machin? perfuradora, systema M.r- cier, privilegiada pela patente n. 1933. de 1 de outubro de 18.15";"31 demarço.";"Emquanto vigorar a pa- tente n. 1.311, de 1 de outu- bro de 1895."
"58";"2311";"Louis Marie Gabriel Delaunay - Belle-ville";"Paris (França).";"A perfeiçoamento em bombas de alimentação.";"1 de abril";"15 annos,"
"59";"2312";"Henry Simon e Sidney Lectham.";"Manchester eHungate, York (Inglaterra)";"A perfeiçoamento em machinismos de moinhos de farinha.";"Idem";"Idem."
"60";"2313";"John Clark, cessionario de Millard Fil- more Field";"Boston (E. U. da America do Norte)";"Machinas de passar fios de mediduras para teares";"Idem";"Idem."
"61";"2314";"Georg Kron";"Copenhague (Dinamarca)";"Constructor de incandescencia para illuminação com petroleo";"Idem";"Idem."
"62";"2313";"Johann Hammerschlag Martellin Gesells- chaft.";"Strassburg Leipzig (Al- lemanha";"Melhoramento relativo ao tratamento de plan- tis para tins textis e outras plantas que ne- c issitem de potassa";"Idem";"I-lem."
"63";"2516";"Guilherme Blanth e Carlos Roche.";"Porto Alegre (Rio Grande do Sul).";"Apparelho destinado á caça de barat's";"9 de abril";"Idem."
"64";"2317";"Pfandler Vacuum Fermentation Company, cessionaria de August Julius Metzler.";"Rechester (E. U. da Ame- rica do Norte";"A perfeiçoamemto na fabricação da cerveja.";"Idem";"Idem."
