"N";"DATA DA EXPEDIÇÃO";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"2.841";"5 "" "" """;"Pedro Naeleirt e Montel Jean.";"Capital Federal";"character(0) Massa, denominadada - Massa isoladora - com applicação a caldeiras e apparelhos a vapor."
"2.842";"5 "" """;"Engenheiro Jorge Rasom Peterson";"Idem";"Gazometro automato-continue para gaz acetyleno."
"2.843";"5 "" "" """;"Robert Deiseler";"Allemanha";"Apparelho para esterilizar liquido por meio de ozone."
"2.844";"7";"Ernesto Fernandes de Souza";"Capital Federal.";"Invenção medicamentosa, denominadas - Gottas Virtuosas."
"2.845";"11 "" """;"Lima & Comp.";"Idem";"Cigarros de papel em carteiras contendo dentro um retrato de gatunos, ladras, caftens, assassinos, roubadores de crianças ou outro qualquer vulgo, celebres nos annaes da policia e que ahi seja re- tratado, cigarros estes denominado - Cigarros de Segurança."
"2.846";"17 "" x """;"Wáldemar Poulsen";"Dinamarca";"Systema para guardar ou archivar a palavra ou signaes."
"2.847";"18 "" """;"Luiz Belleza";"Capital Federal.";"Tratamento da gomma da seringueira, cancho e outros lotus por uma lixivia."
"2.848";"18";"Mantorani Santo";"Estado de S. Paulo";"Catador de café limpo, denominado -Catador San- to."
"2.849";"18 """;"Francisco Barme";"Montevidéo";"Novo systema de armar calçado."
"2.850";"18 "" """;"A Metallurgische Gesellechaft A. G.";"Allemanha";"Processos para separar materias fracamente magne- ticas de materias não magneticas."
"2.851";"18 de julho de 1899.";"Carlos de Jesica";"Estado de S Paulo";"Novo systema de caixas para conter phosphoros."
"2.852";"20 "" "" "" """;"Dannemann & Comp.";"Estado da Bahia";"Perfuração dos sellos de consumo."
"2.853";"20 "" "" "" """;"Alexandre Speltz e Carlos Tavares de Mattos.";"Capital Federal.";"Empregos de correntes de inducção para o appare- lho de chamada do relephone em logar do induc- tor magnetico e para o telegrapho com fios em logar de correntes continuas."
"2.854";"21";"Egydio José Ferreira Martins.";"Idem";"Systema de eixos automaticos de bitola variavel nas vias ferreas ordinarias, destinado a evitar a baldeação das cargas no trafego mutuo de linhas de bitolas diversas."
"2.855";"22 "" """;"João de Simas Enéas.";"Idem";"Caixas de phosphoros, denominada <<mega"""
"2.856";"27 "" """;"Birney Clark Batcheller.";"Estados Unidos da America do Norte";"Aperfeiçoamentos em systema de transporte pneu- matico."
"2.857";"27 """;"o mesmo";"Idem";"Systema aperfeiçoado de transmissão ou trans- porte pneumatico."
"2.858";"27";"o mesmo";"Idem";"Aperfeiçoamentos em apparelhos de expedição pneumatica."
"2.859";"27";"o mesmo";"Idem";"Aperfeiçoamentos em transportadores para tubos de correspondencia pneumatica."
"2.860";"27";"o mesmo";"Idem";"Aperfeiçoamentos no mecanismo de recepção de transportadores para tubos de transito ou trans- missão pneumatica."
"2.861";"27 "" """;"o mesmo";"Idem";"Aperfeiçoamentos em transportadores para tubos pneumaticos."
"2.878";"10 de agosto de 1899.";"Charles Deon Bachelene.";"França.";"Novo tratamento da ramie e outras plantas textis e apparelhos a que a ella se referem."
"2.879";"12 "" "" "" """;"Gabriel Ferreira de Almeida";"Estado do Pará.";"Apparelho denominado : Pendula commodista, des- tinado a dar balanço a uma rede."
"2.880";"12 "" "" "" """;"Robert Deissler";"Allemanha";"Apparelho para produção de ozone."
"2.881";"12 "" "" """;"D. M. Costa & Comp";"Capital Federal";"Processo aperfeiçoado de fabricar cigarros com duas capas."
"2.882";"14 "" """;"Nikola Tesla";"Estados Unidos da America do Norte.";"Methodo e apparelho para mechanismo de regular navios ou vehiculos em movimento."
"2.883";"22 """;"Virgilio da Silva Ramos";"Capital Federal.";"Panellas economicas."
"2.884";"25 """;"Luiz Manoel Pinto de Queiroz.";"Estado de S. Paulo";"Processo de fabricação de café concentrado, deno- minado : Café concentrado Queiroz."
"2.885";"26";"Dr. Luizi Cerelotani e John Friede Wallemann & Comp.";"Allemanha";"Novo processo para telegraphia multipla, por inter- vallos, por meio de apparelhos Morse."
"2.886";"31";"Julius Pintch";"Idem";"Apparelhos destinados a produeção e utilisação do gaz de gorduras. para illuminação terrestre e maritima-Systema Pintch."
"2.887";"31";"José Custodio S. Spinola";"Estado de Minas Geraes.";"Machina de beneficiar café, denominada Spinola."
