"";"N";"CONCESSIONARIOS";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"111";"(843)";"Edward Field";"Londres";"Melhoramentos introduzidos na sua invenção privilegiada de machinas a perfeiçoadas actua- das por gazes quentes, como ar e productos de combustão, com vapor de agua";"9 de Julho";"Emquanto vigo-"
"112";"1477";"John Armstrong Chandler";"Nova York";"Systema de calçamentos e modo de construil-os,";"2ide Julho";"rar a patente primitiva. 15 annos."
"113";"1478";"José Antonio da Fonseca Rodrigues.";"Estado de S. Paulo";"Apparelho - Fonseca Rodrigues, destinado ao transporte, la pequenas distancias, de merca- dorias";"8 de Julho";"Idem."
"114";"1479";"Ludwig Bauer";"Capital Federal";"Apparelho para descascar café, a que deno- minou - Universal.";"23 de Julho,";"Idem."
"115";"1480";"James Gresham";"Inglaterra";"Aperfeiçoamentos nos freios automaticos de vacuo";"30 de Julho.";"Idem."
"116";"1481";"Otto Umlauf.";"Allemanha";"Talas (éclisses) de juncção para trilhos de cami- nhos de ferro";"Idem.";"Idem."
"117";"1482";"Wallace Ranson Kirk e John Pickett Jackson";"Estados Unidos da America do Norte";"Aperféiçoamentos nos eixos de carros de es- tradas de ferro ou ferro-carris";"Idem";"Idem."
"118";"1483";"Jeseph Lumay & Comp.";"Capital Federal";"Apparelho combustor";"Idem";"Idem."
"119";"1484";"Natali Osuchowski e Alexandre Sigismond Zwierzchowski";"Pariz.";"Processo de fabricação de sabão duro sem désa- lage";"Idem";"Idem."
"120";"1485";"Pedro Fernandes Teixeira & Comp.";"Estado do Rio Grande do Sul.";"Systema de fechar hermeticamente caixas de folhas de Flandres.";"Idem.";"Idem."
"121";"1186";"Manoel da Costa Camorim.";"Capital Federal";"Applicação nova dos espiques da palmeira da familia das - Desmoncus - á fabricação de moveis e varios artefactos.";"Idem.";"Idem."
"122";"1487";"Pedro Caminada";"Idem.";"Systema hydraulico applicavel a navegação para vencer grandes differenças de nivel";"6 Agosto.";"Idem."
"123";"1488";"Luiz Jacintho Gomes.";"Idem";"Barco submarino.";"Idem.";"Idem."
"124";"1489";"Fortunato Pereira da Cunha.";"1dem";"Novo processo economico-hygienico para refi- nar assucar";"Idem";"Idem."
"125";"1490";"Benjamin c. Bhamayou";"Bordeaux.";"Novo processo de fabricação de cimento";"13 de Agosto";"Idem."
"126";"1491";"Joaquim Estevão Coelho de Magalhães";"Capital Federal";"Apparelho denominado - Indicador Magalhães destinado a carros de passageiros nas es- tradas de ferro, assignalando opportunamente cada uma das estações de parada";"Idem.";"Idem."
"127";"1492";"Elihu Thomson";"Estados Unidos da America do Norte.";"perfeiçoamento em lampadas electricas incan- descentes";"Idem.";"Idem."
"128";"1493";"Dr. José Roberto da Cunha Salles.";"Capital Federal.";"Preparado denominado - Apperitivo Americano";"Idem";"Idem."
"129";"1494";"Ernést Hermann e Louis Philippe Cohen.";"Pariz";"Novo systema de fornalhas para queimar o bagaço verde";"30 de Agosto";"Idem."
"130";"1495";"Verissimo Barbosa de Souza";"Capital Federal";"Novo systema de balão denominado - Salva vidas para ser applicado á navegação,";"Idem";"Idem."
"131";"1493";"Giuseppe Gibelli";"Idem.";"Descascador para café e cereaes, systema- - Gibelli";"Idem";"Idem."
"132";"1497";"Alvaro Pereira de Geuvêa";"Idem.";"Systema aperfeiçoado de fôrmas para calçados.";"Idem";"Idem."
"133";"1498";"Aureliano de Souza Nogueira da Gama.";"Idem";"Systema de cartões denominados - Cartões Fiscaes Beneficentes, para o fim de fiscali- sação na cobrança de passagens nos carros de companhias ferro-carril de qualquer especie de motor.";"Idem.";"Idem."
"134";"1499";"Leonardo Botelho";"Estado de s. Paulo";"Ventilador para ventilar café descascado, de- nominado - Ventilador Botelho";"Idem.";"Idem."
"135";"1500";"Eli Bouchard.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos na construcção de ferraduras";"6 de Setembro";"Idem."
"136";"1501";"Désiré Lachaussée";"Belgica.";"Apparelho de salvação em caso de incendio";"Idem";"Idem."
"137";"1502";"Walter H. Knight e William B. Potter.";"E. U. da, America do Norte";"Aperfeiçoamentos nos methodos de regular os mecanismos postos em movimentos pela ele- ctricidade e um apparelho para este fim";"6 de Setembro.";"15 annos."
"138";"1503";"Pedro Maly";"Capital Federal";"Processo para fabricação de carvão artificial.";"13 de Setembro.";"Idem."
"139";"1504";"Augusto Maria Coral.";"Idem.";"Processo de manipular o formicida denominado - Formicida Instantaneo - modo de o applicar";"Idem";"Idem."
