"";"N";"CONCESSIONARIOS";"DOMICILIOS";"OBJECTO";"DECEETO";"DURAÇÃO"
"87";"2.067";"A. Gadelha & Filhos";"Pará";"Melheramentos na invenção de tijelinhas lisas para aparar o leite da seringueira, já privi- legiada pela patente n. 1.550 a Antonio Bor- ges de Oliveira,";"Idem";"Idem."
"88";"2.068";"Antonio José Pereira";"Capital Federal";"Mecanismo para fabricar pãos para tamancos communs.";"Idem";"Idem."
"89";"2.069";"José Vicente Marella";"Taubaté";"Apparelho denominado - Marcador Marello - destinado a fiscalisar a renda de bondo";"1 de julho";"Idem."
"90";"2.070";"Antonio Borges Athayde Junior .1";"Capital Federal.";"Machina denominada - Machina formicida Athayde Junior.";"9 de julho";"15 annos"
"91";"2.071";"Schneider & Comp.";"Creuso (França.";"Aperfeiçoamentos nos machinismos de culatra dos canhões de tiro rapido de grosso ca- libre";"13 de julho";"Idem."
"92";"2.072";"Hermann Bultmann e Sophus Hartman";"Allemanha";"Mechanismo para transmissão de força";"Idem";"Idem"
"93";"2.073";"Frederico Carlos Graf";"s. Paulo.";"Novo processo de descarregamento de café e outras materias semelhantes";"Idem";"Idem."
"94";"2.074";"George Chalmers e Frederick Louis Wilder";"Minas Geraes";"Processo aperfeiçoado para tratamento de mi- nereos auriferos, ärgentiferos ou compostos.";"Idem";"Idem."
"95";"2.075";"José Marcondes do Amaral Junior";"Santa Izabel do Rio Preto Rio de Janeiro";"Descascador para café donominado - Deseas- cador Marcondes";"Idem";"Idem."
"96";"2.076";"Honorio Esteves do Sacramento";"Ouro Preto";"Apparelho denominado - Alphabeto Chroma- tico - destinado a ensinar as crianças a ler e contar em breve tempo";"Idem";"Idem."
"97";"2.077";"Major José Maragliano";"S. Paulo.";"Banco-carteira denominado - Paulista - para o serviço de escolas.";"Idem";"Idem."
"98";"2.078";"Henry Arzt";"Londres";"Gerador de electricidade";"Idem";"Idem."
"99";"2,079";"Agostinho Nogueira da Silva";"Ribeirão Preto (S. Paulo).";"Separador catador para café Ilmpo ou outros quaesquer grãos, denominado - Separador catador Nogueira.";"Idem";"Idem."
"100";"2.080";"William Herbert Hyath";"Herme Hill (Inglaterra)";"Aperfeiçoamentos no processo de extrahir ouro e apparelhos para esse tim.";"Idem";"Idem."
"101";"2.081";"Victor Clement Joseph Ortimans";"Bruxellas (Belgica).";"Tubo combinado ou elemento vaporisador";"Idem";"Idem."
"102";"2.082";"José Moreira de Figueiredo Vasconcellos.";"Capital Federal.";"Carro destinado ao transporte de aves e ver- duras denominado - Amicus Populi.";"18 de julho";"Idem."
"103";"2.083";"Compagnie Internationale des procédés Adol- phe Leigl.";"Pariz";"Vaporisador de fornalha interior telescopica e amovivel";"Idem";"Idem."
"104";"2.084";"Alexandre Kargeheff e Serge Demmenie.";"s. Petersbargo.";"Novo processo pyrochimico para extrahir di- rectamente de seus minereos o ferro e outros metaes.";"Idem";"Idem."
"105";"2.085";"João A. de Magalhães Castro";"Capital Federal.";"Novo aerostato perfeitamente dirigivel";"22 de julho";"Idem."
"106";"2.086";"Arthur Adolpho de Rezende e Alberto Carlos dos Santos";"Capital Federal";"Porta-cigarros e phosphoros denominado - Carteira reclame";"21 de julho";"15 annos."
"107";"2.087";"José Rodrigo Botet e Antonio Rodrigues de Barros";"Ide:n";"Apparelho movido pela electricidade para a carga e desearga do navio denominado - Elevador electricto";"Idem";"Idem."
"108";"2.088";"Paul Mauser.";"Allemanha";"Arma de fogo de repetição actuada pelo e dotada de uma cano movel em que se produz um movimento de aferrolhamento do fecho.";"Idem";"Idem."
"109";"2.089";"Maciotta Octavio";"Ouro Preto";"Systema para prevenir o encontro de trens sobre vias ferreas e appareihos para este fim, denominado "" Systema electro-automatico Maciotta";"8 de julho";"Idem."
"110";"2.090";"Abel Home Cardoso.";"Capital Federal.";"Fogão destinado a queimar, como combustivel, petroleo, naphta, benzina, etc., e em geral quaesquer oleos ou essencias mineraes";"21 de julho";"Idem."
"111";"2.091";"James Bocio Polar.";"Boston (Estados Unidos)";"Processos de curtir pellos e couros";"Idem";"Idem,"
"112";"2.002";"Carlos de Andrade Gama";"Juiz de Fóra (Minas Geraes)";"Apparelho destinado á destruição de formigas e outros insectos, denominado Formicida Americina";"Idem";"Idem,"
"113";"2.093";"John Oberg";"Bello Horizonte (idem)";"Systema aperfeiçoado de construcção de asso- alhos, terraços, cobertas, etc., para edifi- cios";"Idem";"Idem,"
"114";"2.034";"A. Gubba & Comp.";"Buenos Ayres";"Systema de ligação por tubos e connexões aper- feiçoadas para apparelhos formicidas";"Idem";"Idem."
"115";"2.095";"Alvaro Botelho Goutier & Comp.";"S. Paulo.";"Novo systema de fogareiro de engommadeira, denominado Fogareiro Economico";"Idem";"Idem."
"116";"1.852 (bis)";"Agostinho Nogueira da Silva";"Idem";"Melhoramentos introduzidos na invenção de um descascador comaspirador e ventilador para caté ou qualquer outro grão, denominado Descascador economico "", privilegiado pela patente n. 1852 de 25 de abril de 1895.";"Idem";"Emquanto vigo- rar a patente n. 1852."
"117";"2.096";"The American Sons keless Powder Com- pany.";"New-York";"Aperfeiçoamento e.n polvora sem fumaça para armas de fogo.";"7 do agosto";"15 annos,"
"118";"2.097";"John Butter";"Sorocaba (s. Paulo)";"Ejector de fagulhas da caixa de fumaça das locomotivas.";"Idem";"Idem."
"119";"2.098";"Levi H. Montroes.";"Estados Unidos da America do Norte";"Systema de fabricação de phosphoro e meca- nismos para esse fim.";"Idem";"Idem."
"120";"2.099";"James Franck Hauston";"Nova Friburgo (Gio de Janeiro.";"Systema de caixa para descarga de agua";"Idem";"Idem."
"121";"2.100";"George John Altham";"Estados Unidos da Ame- rica do Norte";"Aperfeiçoamento em machinas a oleo.";"Idem";"Idem. I"
"122";"2.101";"Candido de Freitas.";"Capital Federal";"Apparelho para cortar e moldar telhado typo conhecido por - Telha nacional";"11 de agosto";"Idem. 19"
"123";"2.102";"Dr. Oscar Froelich";"Steglitz (Allemanha)";"Processo a perfeiçoado de extracção de metaes de minereos pyriticos pelo tratamento com o chloro e recuperamento do chloro empregado.";"13 de agosto";"Idem."
"124";"2.103";"Lonis Bornere";"Bruxellas.";"Junta hermetica e elastica para capsula de garrafas ou outros recipientes, batoques de tonneis e fechos analogos, fixando-Se pela rotação";"Idem";"Idem."
"125";"2.101";"Dr. Acacio Teixeira";"Juiz de Fóra (Minas Geraes).";"Apparelho para destruir formigas, denominado -Sauvicida Mineiro";"20 de agosto";"Idem."
"126";"2.105";"Herman Frach";"Cleveland. (E. U. da Ame- rica do Norte)";"Processo aperfeiçoado para minerar ouro e metaes analogos";"20 de agosto";"Idem."
"127";"2.103";"José de Oliveira Gomes Junior";"Capital Federal";"A pparelho denominado - Filtrador purificador Gomes - para filtrar e purificar as aguas destinadas ao geramento de vapor ou a outro fim industrial,";"24 de agosto";"Idem."
"128";"2.107";"Virissimo Barbosa de Souza";"Idem";"A pparelho acustico para sondagens no mar, denominado - Consultor nautico";"Idem";"Idem."
"129";"2.108";"Dr. Accacio Teixeira.";"Juiz de Fóra (Minas Ge- raes)";"Preparado para destruição de formigas deno- minado - Sauvicida Mineiro";"24 de agosto";"15 annos."
