"N";"DATA DA EXPEDIÇÃO";"CONCES'STONARIOS";"RESIDENCIA";"OBJECTO"
"3.463";"9";"Agostinho Nogueira da Silva.";"Estado de s. Paulo";"Apparelho gerador automatico para gaz acetyleno, denominado ""Apparelho Nacional""."
"3.464";"""";"International Bisson Gesellsch oft m. b.";"Allemanha";"Processo de preparação de chapas photographicas sobre metal destinadas a se empregarem em prelo typographico."
"3.465";"10""";"Ademor Napoleão Petit.";"E. U. da America do Norte.";"Machinas fallantes em uma fórma aperfeiçoada do disco receptor do som e methodo de fazel-o."
"3.466";"13";"Arthur Diniz Lagarde";"Capital Federal.";"Impermeabilidade dos tecidos."
"3.467";"14";"Orcar Larsen";"Estado de S. Paulo";"Lixivia denominada ""Lixivia Larsen""."
"3.468";"14";"Frank Semont Dodgson";"Inglaterra";"Aperfeiçoamentos em systema de signaes pneumati- ticos para estradas de ferro."
"3.469";"19";"Frans Johan Emil Johanson";"Suecia.";"Aperfeiçoamentos em machinas a vapor e identicas."
"3.470";"20";"Alexandre Denizot e Alfredo Borges Monteiro:";"Capital Federal.";"Processo para reducção dos oxydos mineraes pela fusão interna do aluminio borio."
"3.471";"20";"D. Raphaela Carbô";"Idem";"Collete aperfeiçoado para senhora, denominado ""Collete Andaluz""."
"3.472";"20";"Eduardo Claudio.";"Idem";"Melhoramentos em propulsores para navios, etc."
"3.473";"26";"Bernardo Caymari.";"Idem";"Brikets Caymari, que consiste no aproveitamento do carvão como agente chimico para nos fornos elec- tricos, sob acção do calor, produzir o desprendi- mento de gazes que irão contribuir para fusão do mineral ferro."
"3.474";"28";"Antonio Coelho de Magalhães.";"Idem";"Carroça para transporte de lixo e outros detritos á qual denominam <<deal""."
"3.475";"9 de dezembro de 1901.";"Claude Bracher Simé.";"França";"Machina para fabricar garrafas e objectos semelhan- tes de vidro soprado."
"3.476";"29";"João Tiburcio Fiuza de Lima.";"Capital Federal.";"Motor maritimo pelo influxo das ondas."
"3.477";"29";"Manoel Raymundo Bentes";"Estado do Pará.";"Manivela maritima, denominada ""Manivela Mari- tima ""Bentes""."
"3.478";"29";"Frederick Gole.";"Australia,";"Dispositivos aperfeiçoados em arados para per- mittir semultaneamente semear, estrumar e gradar."
"3.479";"29 "" """;"Phenix Investiment Company.";"E. U. da America do Norte.";"Aperfeiçoamentos em apparelhos de alimentação de combustiveis."
"3.480";"29";"Andreas Grenlsen Hashre";"Noruega";"Processo para tornear folhas ou palitos de pinho proprios para fabricas de phosphoros."
